nama,f,m
abdazis,0.0,9.0
abdaziz,0.0,1.0
abdbetha,0.0,1.0
abde,0.0,3.0
abdee,1.0,11.0
abdeellah,0.0,1.0
abdel,0.0,6.0
abdelia,1.0,0.0
abdeliyan,0.0,1.0
abdellah,0.0,1.0
abden,0.0,1.0
abdetama,0.0,1.0
abdfatah,0.0,1.0
abdgafar,0.0,4.0
abdgafur,0.0,1.0
abdgahfar,0.0,1.0
abdgani,0.0,5.0
abdha,0.0,1.0
abdhakim,0.0,2.0
abdhallia,1.0,0.0
abdhamid,0.0,4.0
abdharis,0.0,1.0
abdhe,0.0,2.0
abdhey,0.0,1.0
abdhi,0.0,11.0
abdhian,0.0,2.0
abdhika,0.0,2.0
abdhilah,0.0,1.0
abdhillah,1.0,4.0
abdhis,0.0,1.0
abdhiyani,3.0,0.0
abdhol,0.0,1.0
abdholul,0.0,1.0
abdhu,0.0,1.0
abdhul,0.0,2.0
abdhusein,0.0,1.0
abdhussyamil,0.0,1.0
abdhy,0.0,2.0
abdi,23.0,436.0
abdia,2.0,0.0
abdiah,2.0,0.0
abdian,1.0,4.0
abdiansa,0.0,1.0
abdiansah,0.0,2.0
abdiansyah,0.0,13.0
abdianto,0.0,2.0
abdianur,0.0,2.0
abdiar,0.0,1.0
abdiawan,0.0,1.0
abdiawipa,1.0,0.0
abdid,0.0,1.0
abdie,0.0,5.0
abdiel,1.0,23.0
abdiellah,0.0,1.0
abdigama,0.0,1.0
abdiguna,0.0,1.0
abdihah,1.0,0.0
abdihi,1.0,0.0
abdika,1.0,5.0
abdikassalam,0.0,1.0
abdil,0.0,15.0
abdila,0.0,3.0
abdilaa,0.0,1.0
abdilah,6.0,115.0
abdilan,0.0,1.0
abdilham,0.0,1.0
abdilian,0.0,2.0
abdiliansyah,0.0,1.0
abdilianto,0.0,1.0
abdilla,5.0,10.0
abdillaah,0.0,1.0
abdillah,40.0,939.0
abdillahi,0.0,1.0
abdillahohim,0.0,1.0
abdillahr,0.0,1.0
abdillahsyah,0.0,1.0
abdilllah,0.0,1.0
abdimas,0.0,1.0
abdimaz,0.0,1.0
abdin,0.0,2.0
abdina,4.0,0.0
abdinata,0.0,1.0
abdinegoro,0.0,1.0
abdini,3.0,1.0
abdinur,0.0,1.0
abdipraja,0.0,2.0
abdirahman,0.0,1.0
abdiria,0.0,1.0
abdirrahman,0.0,4.0
abdis,0.0,2.0
abdisaputra,0.0,1.0
abdissubhan,0.0,1.0
abditara,0.0,1.0
abditiyani,1.0,0.0
abditya,0.0,5.0
abdiyah,3.0,0.0
abdiyanto,0.0,1.0
abdiyatul,1.0,0.0
abdiza,1.0,0.0
abdizar,0.0,1.0
abdjul,1.0,2.0
abdkadir,0.0,6.0
abdkadirm,0.0,1.0
abdkarim,0.0,2.0
abdkhohharmt,0.0,1.0
abdl,1.0,1.0
abdlalim,0.0,1.0
abdlatif,0.0,1.0
abdmajid,0.0,5.0
abdmanapr,0.0,1.0
abdmannang,0.0,1.0
abdmuin,0.0,1.0
abdmuis,0.0,1.0
abdmuisag,0.0,1.0
abdmukti,0.0,1.0
abdmunir,0.0,1.0
abdmurad,0.0,1.0
abdo,0.0,1.0
abdoel,0.0,4.0
abdoh,0.0,1.0
abdol,0.0,4.0
abdoli,0.0,1.0
abdoliyah,1.0,0.0
abdollah,3.0,8.0
abdolo,0.0,1.0
abdon,0.0,6.0
abdoni,1.0,1.0
abdorachman,0.0,1.0
abdou,0.0,1.0
abdrahim,0.0,4.0
abdrahman,0.0,5.0
abdrajab,0.0,1.0
abdrasjid,0.0,1.0
abdrasyid,0.0,4.0
abdrasyidt,0.0,1.0
abdraup,0.0,2.0
abdrazak,0.0,2.0
abdrohim,0.0,1.0
abdrohman,0.0,1.0
abdsamad,0.0,1.0
abdsaman,0.0,1.0
abdsani,0.0,3.0
abdss,0.0,1.0
abdsuandi,0.0,1.0
abdsukur,0.0,1.0
abdsyakur,0.0,1.0
abdsyarif,0.0,1.0
abdu,0.0,56.0
abdudibas,0.0,1.0
abdufattah,0.0,1.0
abduh,3.0,41.0
abduhd,0.0,1.0
abdul,69.0,6805.0
abdula,0.0,2.0
abdulah,5.0,56.0
abdulaziz,0.0,1.0
abdulfattah,0.0,2.0
abdulgani,1.0,2.0
abdulgaza,0.0,1.0
abdulghani,0.0,1.0
abdulghany,0.0,1.0
abdulhadi,0.0,1.0
abdulhafiz,0.0,1.0
abduljabbar,0.0,1.0
abdulkareem,0.0,1.0
abdulkarim,0.0,2.0
abdull,0.0,1.0
abdulla,0.0,4.0
abdullaah,0.0,1.0
abdulladaem,0.0,1.0
abdullah,96.0,1464.0
abdullahis,0.0,1.0
abdullasa,0.0,1.0
abdullasani,0.0,1.0
abdullathif,0.0,1.0
abdullatif,0.0,2.0
abdullida,2.0,0.0
abdulllah,0.0,1.0
abdullo,0.0,1.0
abdulloh,0.0,35.0
abdulmalik,0.0,1.0
abdulmuin,0.0,1.0
abduloh,0.0,2.0
abdulqowi,0.0,1.0
abdulrahim,0.0,3.0
abdulrahman,0.0,16.0
abdulrasid,0.0,1.0
abdulrohman,0.0,2.0
abdulsakur,0.0,1.0
abdulsaman,0.0,1.0
abdulzaki,0.0,1.0
abdumbohm,0.0,1.0
abdun,0.0,4.0
abdunasar,0.0,1.0
abdunasir,0.0,1.0
abdunnur,0.0,1.0
abdur,2.0,178.0
abdurachim,0.0,4.0
abdurachman,0.0,32.0
abdurahhaman,0.0,1.0
abdurahim,0.0,14.0
abdurahman,4.0,149.0
abdurahmawangsah,0.0,1.0
abdurakhman,0.0,4.0
abdurasyid,0.0,2.0
abdurazzak,0.0,1.0
abdurazzaq,0.0,2.0
abdurohim,0.0,1.0
abdurohman,0.0,5.0
abdurosyid,0.0,1.0
abdurouf,0.0,1.0
abdurrachim,0.0,4.0
abdurrachman,1.0,23.0
abdurrachmansyah,0.0,2.0
abdurrafi,0.0,4.0
abdurrafiq,0.0,1.0
abdurrahiem,0.0,1.0
