nama,f,m
bakkara,4.0,1.0
bakkarang,0.0,1.0
bakkareng,1.0,2.0
bakker,0.0,1.0
bakkiah,1.0,0.0
bakkin,1.0,0.0
bakko,0.0,2.0
bakkri,0.0,1.0
bakkry,0.0,1.0
bakni,0.0,2.0
bako,0.0,1.0
bakoh,0.0,2.0
bakori,0.0,1.0
bakr,0.0,2.0
bakran,1.0,21.0
bakransyah,0.0,1.0
bakri,22.0,207.0
bakriansyah,0.0,2.0
bakrie,6.0,27.0
bakrim,0.0,1.0
bakriman,0.0,1.0
bakrin,0.0,1.0
bakriyadi,0.0,1.0
bakrizon,0.0,1.0
bakron,0.0,1.0
bakroni,0.0,1.0
bakruddin,0.0,1.0
bakrul,0.0,1.0
bakrun,0.0,4.0
bakruroji,0.0,1.0
bakry,0.0,2.0
baksa,0.0,4.0
baksid,0.0,1.0
baksya,0.0,1.0
bakta,0.0,1.0
baktayan,1.0,0.0
baktha,0.0,2.0
bakti,22.0,148.0
baktiadi,0.0,1.0
baktiah,1.0,0.0
baktian,0.0,1.0
baktiannur,0.0,1.0
baktiansyah,0.0,1.0
baktiar,0.0,16.0
baktiato,0.0,1.0
baktiawan,0.0,2.0
baktika,0.0,1.0
baktilael,0.0,1.0
baktisyah,0.0,1.0
baktita,1.0,0.0
baktiyansyah,0.0,1.0
bakty,0.0,2.0
bakua,2.0,2.0
bakuci,0.0,1.0
bakuh,1.0,1.0
bakung,1.0,0.0
bala,21.0,56.0
balad,0.0,2.0
balada,0.0,1.0
baladewa,0.0,2.0
balado,0.0,1.0
baladraf,0.0,1.0
balaesang,3.0,3.0
balaina,3.0,0.0
balalembang,4.0,10.0
balalio,1.0,0.0
balan,7.0,17.0
balang,4.0,14.0
balanga,0.0,1.0
balangga,1.0,0.0
balansa,2.0,4.0
balansoa,2.0,1.0
balanta,1.0,0.0
balantukang,1.0,1.0
balany,1.0,2.0
balap,0.0,1.0
balas,0.0,1.0
balasa,0.0,1.0
balasius,0.0,1.0
balatau,0.0,2.0
balatipa,1.0,0.0
balatondok,1.0,0.0
balatonduk,0.0,1.0
balau,2.0,2.0
balawa,1.0,0.0
balawati,1.0,0.0
balaweling,0.0,3.0
balawung,0.0,1.0
balbly,2.0,0.0
balbrice,1.0,0.0
balda,1.0,0.0
baldan,0.0,2.0
baldemar,0.0,1.0
balder,0.0,1.0
baldeuin,0.0,1.0
baldev,0.0,1.0
baldhawi,0.0,1.0
baldi,0.0,2.0
baldo,0.0,1.0
baldovina,0.0,1.0
baldy,0.0,2.0
bale,6.0,5.0
balena,1.0,0.0
balendra,0.0,1.0
baleng,0.0,1.0
balentong,0.0,1.0
balesta,0.0,1.0
balfa,0.0,1.0
balfas,6.0,17.0
balfasd,0.0,2.0
balfaz,1.0,0.0
balghais,1.0,0.0
balghaist,0.0,1.0
balghaits,1.0,1.0
balgheits,1.0,0.0
balghoist,0.0,1.0
balghoisth,1.0,0.0
balghoits,0.0,1.0
balguhum,1.0,0.0
balgus,1.0,0.0
balhadiah,1.0,0.0
balham,0.0,1.0
balhaqi,0.0,1.0
balher,0.0,2.0
balhinuddin,0.0,1.0
bali,17.0,27.0
balia,0.0,2.0
baliahs,0.0,1.0
balie,1.0,0.0
baliga,0.0,1.0
baliigh,0.0,1.0
balik,14.0,11.0
balimawa,1.0,1.0
balimu,0.0,2.0
balimula,0.0,1.0
balina,1.0,0.0
balinda,1.0,0.0
balindo,0.0,2.0
balindra,0.0,2.0
balingga,0.0,2.0
balisa,5.0,8.0
baliya,1.0,0.0
baliyani,1.0,0.0
balkamsyah,0.0,1.0
balkan,0.0,1.0
balkis,27.0,1.0
balkish,1.0,0.0
balkist,1.0,0.0
balla,1.0,7.0
ballaco,1.0,0.0
ballah,2.0,1.0
ballangan,1.0,1.0
ballasari,1.0,0.0
ballaso,0.0,1.0
balle,1.0,1.0
ballele,0.0,1.0
ballinda,1.0,0.0
ballkis,1.0,0.0
ballkiss,1.0,0.0
ballo,6.0,8.0
ballodi,0.0,1.0
ballong,0.0,1.0
ballsilius,0.0,1.0
ballu,0.0,1.0
bally,0.0,1.0
balman,0.0,1.0
balna,1.0,0.0
balny,1.0,0.0
balo,2.0,2.0
balok,1.0,0.0
balosalma,0.0,1.0
balotton,0.0,1.0
balpa,1.0,1.0
balqary,0.0,1.0
balqees,2.0,0.0
balqes,1.0,0.0
balqhi,0.0,1.0
balqhis,2.0,0.0
balqies,5.0,0.0
balqiest,1.0,0.0
balqiez,1.0,0.0
balqis,406.0,3.0
balqisa,1.0,0.0
balqischa,1.0,0.0
balqish,7.0,0.0
balqisha,1.0,0.0
balqishc,1.0,0.0
balqissri,1.0,0.0
balqist,5.0,0.0
balqisvia,1.0,0.0
balqisya,1.0,0.0
balqisyha,1.0,0.0
balqiz,4.0,0.0
balqs,1.0,0.0
balquees,1.0,0.0
balques,3.0,0.0
balsaka,0.0,1.0
baltasar,0.0,3.0
balthazar,0.0,3.0
baltiningsih,1.0,0.0
balu,3.0,10.0
baluku,0.0,1.0
balulu,0.0,1.0
balun,2.0,2.0
baluntu,0.0,1.0
balutan,0.0,1.0
balutdin,0.0,1.0
baluto,0.0,1.0
baluwu,0.0,1.0
balva,1.0,0.0
balvas,0.0,2.0
balvindra,0.0,1.0
balwind,0.0,3.0
balya,1.0,22.0
balyah,0.0,1.0
balyan,0.0,2.0
balyat,0.0,1.0
balzano,0.0,1.0
bam,0.0,1.0
bama,0.0,6.0
bamabang,0.0,1.0
bamaliah,1.0,0.0
baman,1.0,3.0
bamana,0.0,1.0
bamantara,0.0,2.0
bamarnani,0.0,1.0
bamas,1.0,0.0
bamatraf,6.0,2.0
bamba,2.0,5.0
bambaera,1.0,0.0
bambal,0.0,1.0
bamban,0.0,1.0
bambang,12.0,1386.0
bambangk,0.0,1.0
bambi,0.0,1.0
bambik,0.0,1.0
bambu,0.0,1.0
bambulu,0.0,2.0
bambur,0.0,1.0
bame,0.0,1.0
bamesongka,0.0,1.0
bamher,0.0,4.0
bami,0.0,1.0
bamir,0.0,1.0
bampa,1.0,0.0
bams,1.0,0.0
bamung,1.0,0.0
ban,1.0,11.0
bana,5.0,12.0
banaf,0.0,1.0
banafsha,15.0,0.0
banafsyah,0.0,1.0
banah,1.0,0.0
banamtuan,1.0,0.0
banan,1.0,0.0
banang,1.0,0.0
banani,0.0,3.0
banantuan,1.0,1.0
banar,0.0,3.0
banaruddin,0.0,1.0
banati,3.0,0.0
banatin,1.0,0.0
banatri,0.0,2.0
banawati,2.0,0.0
banayem,1.0,0.0
banazir,1.0,0.0
bancin,1.0,0.0
banda,2.0,3.0
bandadu,0.0,1.0
bandang,0.0,1.0
bandangan,0.0,2.0
bandangkonding,1.0,0.0
bandar,2.0,3.0
bandara,1.0,2.0
bandaro,0.0,1.0
bandaso,6.0,9.0
bandau,0.0,1.0
bande,0.0,2.0
bandel,0.0,1.0
bandeng,1.0,0.0
bandera,0.0,1.0
banderas,0.0,2.0
bandhang,0.0,1.0
bandhawa,1.0,1.0
bandhi,0.0,1.0
bandi,1.0,27.0
bandiansyah,0.0,1.0
banding,0.0,1.0
bandini,1.0,0.0
bandiyah,3.0,0.0
bandiyem,1.0,0.0
bandiyono,0.0,1.0
bandjar,1.0,0.0
bandng,0.0,1.0
bando,1.0,4.0
bandong,2.0,2.0
bandono,0.0,2.0
bandoro,1.0,1.0
bandret,0.0,1.0
bandri,4.0,0.0
bandriah,1.0,0.0
bandriyah,1.0,0.0
bandriyanti,1.0,0.0
bandriyo,0.0,1.0
bandu,1.0,17.0
bandua,2.0,0.0
banduaesra,1.0,0.0
banduarsyah,0.0,1.0
bandung,3.0,8.0
bandur,1.0,6.0
banduri,1.0,0.0
banduwati,1.0,0.0
bandy,0.0,3.0
bandyah,1.0,0.0
bandyastutik,1.0,0.0
bane,1.0,3.0
banendra,0.0,1.0
baneng,1.0,0.0
banera,1.0,1.0
bang,10.0,26.0
banga,10.0,8.0
bangabua,1.0,0.0
bangalangi,0.0,1.0
bangalino,1.0,0.0
bangaran,1.0,1.0
bangas,1.0,0.0
bangau,0.0,3.0
bange,1.0,0.0
bangga,1.0,3.0
banggawaliman,2.0,0.0
bangge,0.0,1.0
banggo,0.0,3.0
banggopan,0.0,2.0
banggous,1.0,0.0
banggulu,0.0,1.0
banggur,0.0,6.0
banggut,1.0,1.0
bangi,0.0,1.0
banginda,0.0,1.0
bangka,0.0,1.0
bangkaran,0.0,1.0
bangki,1.0,0.0
bangkiling,1.0,0.0
bangkit,1.0,27.0
bangku,0.0,1.0
bangla,2.0,1.0
bangnga,1.0,7.0
bango,0.0,1.0
bangre,0.0,3.0
bangri,6.0,4.0
bangsa,2.0,5.0
bangsahari,0.0,1.0
bangsawan,1.0,9.0
bangu,3.0,2.0
bangui,0.0,1.0
bangun,22.0,65.0
bangur,0.0,1.0
banhar,1.0,2.0
banhi,0.0,1.0
bani,17.0,89.0
bania,1.0,0.0
baniabang,0.0,1.0
baniadi,0.0,2.0
baniah,12.0,0.0
banianingrum,1.0,0.0
baniansah,0.0,1.0
baniansyah,0.0,1.0
banianto,0.0,1.0
banianus,0.0,2.0
baniati,3.0,0.0
baniatun,1.0,0.0
baniel,0.0,2.0
banihiara,1.0,0.0
banikem,1.0,0.0
banin,3.0,2.0
baninah,1.0,0.0
banindaru,0.0,1.0
baningsih,2.0,0.0
banir,0.0,1.0
baniran,0.0,1.0
baniskot,0.0,1.0
banitha,1.0,0.0
baniyah,2.0,0.0
baniyanto,0.0,1.0
baniyati,1.0,0.0
baniyatinur,1.0,0.0
banjar,2.0,12.0
banjari,0.0,22.0
banjarmasin,1.0,0.0
banjarnahor,5.0,14.0
banjarsanti,2.0,0.0
banjary,0.0,1.0
banji,0.0,1.0
banjir,0.0,1.0
banna,5.0,6.0
bannang,1.0,0.0
bannati,0.0,1.0
banne,53.0,36.0
bannebua,1.0,0.0
bannelembang,1.0,0.0
bannelimbong,1.0,1.0
bannerara,1.0,0.0
banneringgi,0.0,1.0
banni,3.0,6.0
bannu,0.0,1.0
banny,0.0,1.0
bano,4.0,2.0
banodava,0.0,1.0
banoe,0.0,1.0
banoet,1.0,0.0
banom,1.0,0.0
banon,4.0,0.0
banong,10.0,3.0
banoon,1.0,0.0
banore,1.0,0.0
banowati,13.0,0.0
banpu,0.0,1.0
banri,2.0,0.0
banriki,0.0,2.0
banru,0.0,1.0
banruri,0.0,1.0
bansa,0.0,2.0
bansary,0.0,1.0
bansele,0.0,5.0
bansi,0.0,2.0
bansir,4.0,7.0
bansuhari,4.0,0.0
banta,3.0,4.0
bantani,0.0,1.0
bante,0.0,1.0
banten,0.0,1.0
banteng,0.0,1.0
banter,0.0,1.0
bantika,0.0,1.0
bantin,2.0,0.0
banto,1.0,1.0
bantolo,0.0,1.0
bantong,0.0,1.0
bantu,0.0,3.0
banturino,0.0,1.0
banu,16.0,24.0
banua,0.0,1.0
banuaji,0.0,1.0
banuarea,2.0,0.0
banuli,0.0,1.0
banun,22.0,1.0
banuna,1.0,0.0
banunaek,2.0,2.0
banung,2.0,0.0
banunu,0.0,2.0
banur,1.0,0.0
banurasmi,1.0,0.0
banurea,1.0,0.0
banusetyo,0.0,1.0
banusu,0.0,1.0
banuwara,0.0,1.0
banuwati,2.0,0.0
bany,1.0,2.0
banyu,3.0,9.0
banyudia,0.0,1.0
banyumas,1.0,1.0
banyuu,1.0,0.0
banzari,0.0,1.0
banzir,0.0,2.0
bao,5.0,4.0
baoang,3.0,5.0
baon,1.0,0.0
baor,0.0,3.0
bapa,0.0,3.0
bapaddal,1.0,0.0
bapak,0.0,4.0
bapan,0.0,1.0
baparaya,0.0,1.0
baptista,3.0,7.0
baptisto,0.0,1.0
bapu,3.0,0.0
baq,2.0,0.0
baqa,0.0,2.0
baqdadi,1.0,0.0
baqi,2.0,7.0
baqiah,2.0,0.0
baqiest,1.0,0.0
baqiqi,0.0,2.0
baqir,1.0,20.0
baqit,1.0,0.0
baqiyatus,1.0,0.0
baqkri,0.0,1.0
baqri,0.0,1.0
baqtayan,0.0,2.0
bar,0.0,2.0
bara,47.0,83.0
baraah,1.0,0.0
barachiel,0.0,1.0
barack,7.0,15.0
baradi,0.0,1.0
baradika,0.0,1.0
baradillah,0.0,1.0
baragbah,2.0,2.0
barahama,1.0,4.0
barahapsya,1.0,0.0
barairah,0.0,1.0
baraiya,0.0,1.0
baraiza,0.0,1.0
baraja,2.0,5.0
barak,2.0,8.0
baraka,0.0,5.0
barakah,0.0,2.0
barakatul,1.0,0.0
barakatullah,1.0,1.0
barakbah,1.0,6.0
barakha,0.0,1.0
barakka,0.0,2.0
barakkan,0.0,1.0
baralangi,3.0,1.0
baralvi,0.0,1.0
baramada,0.0,1.0
baramanis,2.0,3.0
baramantya,0.0,2.0
baramantyo,0.0,1.0
baramarta,0.0,1.0
barambang,0.0,1.0
barampatola,0.0,1.0
baramuli,0.0,1.0
baran,0.0,3.0
barana,2.0,2.0
barananta,0.0,1.0
barang,2.0,0.0
barangka,1.0,0.0
barani,4.0,6.0
baraningtyas,1.0,0.0
baranoi,0.0,1.0
baranta,0.0,1.0
baranula,0.0,1.0
barapadang,2.0,2.0
barapati,0.0,1.0
baraputra,0.0,2.0
baraq,0.0,6.0
baraqah,1.0,0.0
baraqbah,16.0,22.0
baraqh,0.0,1.0
baraqka,0.0,1.0
bararah,3.0,0.0
bararani,1.0,0.0
barasa,2.0,2.0
barasandi,0.0,1.0
barat,0.0,2.0
barata,2.0,14.0
baratama,0.0,2.0
baratayuda,0.0,1.0
barateng,0.0,1.0
baratha,0.0,2.0
baratiku,2.0,1.0
baratty,1.0,1.0
baratul,1.0,0.0
barau,1.0,0.0
barauli,0.0,1.0
barauly,0.0,1.0
barawan,0.0,1.0
barawi,0.0,1.0
barayani,1.0,0.0
barayun,0.0,2.0
barbaini,0.0,2.0
barbara,13.0,4.0
barbarosa,0.0,1.0
barbarra,0.0,1.0
barbasari,1.0,0.0
barbawi,0.0,1.0
barbie,1.0,0.0
barbylonia,1.0,0.0
barca,0.0,1.0
barce,0.0,4.0
barcelius,0.0,1.0
barcelona,1.0,1.0
barda,1.0,1.0
bardah,2.0,0.0
bardaini,0.0,1.0
bardan,2.0,9.0
bardani,0.0,2.0
bardaniah,1.0,0.0
bardansyah,0.0,1.0
bardany,0.0,1.0
bardi,0.0,13.0
bardiah,6.0,0.0
bardian,0.0,2.0
bardiansyah,0.0,9.0
bardianto,0.0,1.0
bardiati,1.0,0.0
bardika,2.0,0.0
bardin,1.0,4.0
barding,0.0,2.0
bardis,0.0,1.0
bardisun,0.0,1.0
bardo,0.0,1.0
bardono,0.0,1.0
bardul,0.0,1.0
bardus,0.0,2.0
bardy,0.0,2.0
bare,9.0,2.0
bareallo,1.0,0.0
barean,0.0,1.0
bareb,0.0,2.0
baredo,0.0,1.0
barefang,1.0,0.0
barek,58.0,0.0
barekama,0.0,1.0
barekina,1.0,0.0
barel,0.0,1.0
barelfin,0.0,1.0
bareliang,1.0,0.0
barelliang,1.0,0.0
barelly,1.0,0.0
baren,1.0,1.0
barenda,0.0,2.0
barens,0.0,1.0
barep,0.0,3.0
barera,0.0,3.0
barerra,0.0,1.0
bareto,0.0,4.0
barez,0.0,1.0
bareza,1.0,0.0
barfin,0.0,1.0
bargah,4.0,1.0
bargalona,0.0,1.0
bargi,0.0,1.0
bargiah,1.0,0.0
bargiyati,1.0,0.0
barhadi,0.0,1.0
barham,0.0,2.0
barhanuddin,0.0,1.0
barhen,0.0,1.0
barhorho,1.0,0.0
bari,6.0,44.0
baria,2.0,0.0
bariah,103.0,2.0
bariana,1.0,0.0
bariani,3.0,2.0
bariansyah,0.0,2.0
barianto,0.0,3.0
bariasih,1.0,0.0
bariati,3.0,0.0
bariatul,1.0,0.0
bariaty,1.0,0.0
barid,0.0,5.0
barida,1.0,1.0
baridah,4.0,0.0
baridi,0.0,1.0
baridj,0.0,1.0
barie,1.0,3.0
bariiq,0.0,1.0
barijan,0.0,1.0
barik,1.0,6.0
barikapa,0.0,1.0
bariki,0.0,2.0
bariklana,0.0,1.0
baril,0.0,1.0
barim,0.0,1.0
bariman,0.0,2.0
barimbing,1.0,4.0
barimelati,1.0,0.0
barinah,1.0,0.0
barinbing,0.0,1.0
barinda,1.0,1.0
baring,1.0,0.0
baringbing,1.0,1.0
barini,1.0,0.0
barino,0.0,1.0
barinten,1.0,0.0
bariq,1.0,24.0
bariqi,0.0,1.0
barir,0.0,1.0
bariro,0.0,2.0
bariroh,7.0,0.0
barirotul,1.0,0.0
baris,0.0,3.0
barisi,2.0,2.0
barisna,0.0,6.0
barisno,0.0,1.0
baristha,1.0,1.0
barit,0.0,1.0
barita,1.0,5.0
baritho,0.0,1.0
barito,14.0,24.0
baritta,1.0,0.0
bariun,0.0,1.0
bariurrozy,0.0,1.0
bariya,1.0,0.0
bariyah,48.0,0.0
bariyan,0.0,1.0
bariyani,1.0,1.0
bariyanto,0.0,3.0
bariyati,5.0,1.0
bariyatul,1.0,0.0
bariyatun,1.0,0.0
bariyem,6.0,0.0
bariyono,0.0,1.0
bariz,1.0,1.0
bariza,2.0,0.0
barizah,1.0,0.0
barizi,0.0,7.0
barjad,0.0,1.0
barjah,0.0,1.0
barjan,0.0,2.0
barji,0.0,7.0
barjiya,0.0,1.0
barjo,0.0,1.0
barjono,0.0,1.0
barkah,13.0,19.0
barkani,0.0,9.0
barkat,0.0,3.0
barkati,0.0,31.0
barkatiah,2.0,0.0
barkatie,0.0,1.0
barkatina,1.0,0.0
barkatu,0.0,1.0
barkatul,0.0,1.0
barkatullah,0.0,7.0
barkatus,1.0,0.0
barkey,0.0,1.0
barkhati,1.0,2.0
barkhia,0.0,1.0
barkhoya,0.0,1.0
barki,1.0,0.0
barkiah,9.0,0.0
barkiansyah,0.0,1.0
barkijah,1.0,0.0
barkis,1.0,0.0
barkiyah,4.0,1.0
barky,0.0,1.0
barli,1.0,1.0
barliah,1.0,0.0
barlian,46.0,1.0
barliana,5.0,0.0
barliang,4.0,0.0
barliangss,0.0,1.0
barliani,2.0,0.0
barlianna,1.0,0.0
barliannor,0.0,1.0
barliansyah,0.0,3.0
barlianta,0.0,2.0
barlianti,2.0,0.0
barliantio,0.0,1.0
barlin,2.0,2.0
barlius,0.0,1.0
barliyan,1.0,0.0
barmaki,0.0,1.0
barmas,1.0,0.0
barmawi,0.0,3.0
barmen,0.0,2.0
barmi,1.0,0.0
barna,1.0,1.0
barnabas,0.0,15.0
barnabie,0.0,1.0
barnace,1.0,0.0
barnadeta,1.0,0.0
barnadip,0.0,1.0
barnah,2.0,0.0
barnani,0.0,1.0
barnard,0.0,1.0
barnardi,0.0,1.0
barnas,0.0,2.0
barnawi,0.0,1.0
barnawie,0.0,1.0
barnece,4.0,0.0
barnedeta,1.0,0.0
barneo,0.0,1.0
barnes,0.0,2.0
barnesco,0.0,1.0
barnex,0.0,1.0
barni,5.0,2.0
barnia,1.0,0.0
barniah,13.0,0.0
barnico,0.0,1.0
barnie,0.0,4.0
barno,0.0,2.0
baro,0.0,3.0
barohni,0.0,1.0
baroji,0.0,2.0
barok,0.0,2.0
barokah,21.0,13.0
barokatussyafaah,1.0,0.0
barokhah,1.0,0.0
barokhatun,1.0,0.0
barolym,0.0,1.0
baron,0.0,5.0
barong,1.0,1.0
baronis,0.0,1.0
baroqah,3.0,0.0
baror,0.0,1.0
barorah,1.0,0.0
barori,0.0,2.0
baroro,1.0,0.0
baroroh,6.0,0.0
baros,0.0,2.0
barot,0.0,1.0
barotho,0.0,1.0
barotin,1.0,0.0
baroto,0.0,3.0
baroya,0.0,2.0
baroyah,1.0,0.0
barozie,0.0,1.0
barqah,1.0,1.0
barqi,0.0,7.0
barqiah,1.0,0.0
barr,0.0,4.0
barra,3.0,50.0
barraa,0.0,1.0
barrack,0.0,1.0
barrah,12.0,1.0
barrahanan,0.0,2.0
barrak,0.0,1.0
barrambi,1.0,0.0
barran,0.0,3.0
barrang,6.0,3.0
barraq,0.0,14.0
barrbas,0.0,1.0
barre,5.0,2.0
barref,0.0,1.0
barri,3.0,8.0
barriansyah,0.0,1.0
barriq,0.0,1.0
barriyah,1.0,0.0
barro,0.0,1.0
barroh,2.0,0.0
barrok,0.0,1.0
barron,0.0,2.0
barroroh,1.0,0.0
barrozi,0.0,1.0
barru,1.0,3.0
barrunawati,1.0,0.0
barrung,1.0,6.0
barrutama,0.0,1.0
barry,1.0,8.0
barrye,0.0,1.0
barryhi,0.0,1.0
barsah,0.0,1.0
barsha,1.0,0.0
barsiah,16.0,0.0
barsiat,1.0,0.0
barsih,3.0,1.0
barsinah,4.0,0.0
barsiyah,1.0,0.0
barsudi,0.0,1.0
barsya,1.0,0.0
bart,0.0,1.0
bartasiah,1.0,0.0
bartenia,1.0,0.0
bartha,0.0,1.0
bartho,1.0,4.0
bartholomeus,0.0,8.0
barti,1.0,0.0
bartimeus,0.0,1.0
bartini,1.0,0.0
barto,0.0,2.0
bartolomeng,0.0,1.0
bartolomeus,0.0,8.0
bartolomius,0.0,5.0
bartolonius,0.0,2.0
bartolumeus,0.0,1.0
bartomius,0.0,1.0
bartomolius,0.0,1.0
baru,23.0,16.0
barubu,1.0,0.0
baruch,0.0,1.0
baruchsena,0.0,1.0
baruddin,0.0,3.0
barudding,0.0,1.0
barudi,0.0,1.0
barudin,0.0,4.0
baruga,1.0,1.0
barugading,1.0,0.0
baruiyasha,0.0,1.0
baruji,0.0,1.0
baruka,1.0,0.0
baruku,1.0,0.0
barullah,0.0,1.0
barumas,0.0,1.0
barumbun,2.0,2.0
baruna,3.0,23.0
barunawan,0.0,1.0
barunawati,3.0,0.0
barunawaty,2.0,0.0
barung,10.0,8.0
baruni,1.0,0.0
baruno,1.0,2.0
barus,17.0,22.0
baruseptenly,0.0,1.0
barusta,0.0,1.0
barut,0.0,2.0
barutu,2.0,2.0
baruwodi,0.0,2.0
barwis,0.0,1.0
barwiyah,1.0,0.0
bary,0.0,3.0
baryal,1.0,0.0
baryanto,1.0,2.0
baryati,5.0,0.0
baryqul,0.0,1.0
baryza,1.0,0.0
barzali,0.0,1.0
barzani,0.0,2.0
barzanie,0.0,1.0
barzilai,0.0,1.0
bas,1.0,1.0
basa,5.0,16.0
basablolon,1.0,0.0
basae,1.0,1.0
basagita,1.0,1.0
basah,0.0,2.0
basahadi,0.0,1.0
basahil,0.0,1.0
basair,0.0,2.0
basalamah,1.0,5.0
basama,1.0,1.0
basamah,2.0,0.0
basan,0.0,2.0
basana,2.0,0.0
basani,1.0,0.0
basaopun,0.0,1.0
basar,4.0,20.0
basara,1.0,1.0
basarah,0.0,6.0
basari,2.0,4.0
basaria,6.0,0.0
basariah,4.0,0.0
basario,0.0,1.0
basaru,1.0,1.0
basaruddin,0.0,3.0
basarudin,0.0,5.0
basauki,0.0,1.0
basayep,0.0,1.0
basayev,0.0,3.0
basayyev,0.0,1.0
basda,1.0,0.0
base,2.0,2.0
baseefa,1.0,1.0
basella,1.0,0.0
baseng,1.0,0.0
baserah,1.0,0.0
baseran,1.0,1.0
baserani,0.0,2.0
baseri,0.0,2.0
baseriah,1.0,1.0
baset,0.0,1.0
baseto,1.0,0.0
basgoro,0.0,1.0
bashaar,0.0,2.0
bashalmeer,0.0,1.0
bashar,1.0,7.0
bashara,0.0,1.0
bashari,0.0,2.0
basharun,0.0,1.0
bashayev,0.0,1.0
basheera,1.0,0.0
bashendra,0.0,1.0
bashid,0.0,1.0
bashiir,0.0,2.0
bashir,0.0,5.0
bashira,1.0,1.0
bashirah,2.0,0.0
bashiri,3.0,0.0
bashiroh,2.0,0.0
bashiron,0.0,1.0
bashirulhaq,0.0,1.0
bashit,0.0,3.0
bashith,0.0,1.0
bashituroqib,0.0,1.0
bashofi,0.0,1.0
bashoir,0.0,2.0
bashor,0.0,3.0
bashori,0.0,17.0
bashoriyati,1.0,0.0
bashoruddin,0.0,1.0
bashory,0.0,1.0
bashri,0.0,3.0
bashshar,0.0,1.0
bashul,0.0,1.0
basi,2.0,3.0
basia,1.0,0.0
basiah,9.0,0.0
basiang,0.0,1.0
basiar,0.0,1.0
basid,1.0,24.0
basier,0.0,1.0
basihan,1.0,0.0
basil,0.0,11.0
basileans,0.0,1.0
basileia,0.0,1.0
basiliana,1.0,0.0
basilinus,0.0,1.0
basilissa,1.0,0.0
basilius,1.0,11.0
basillia,1.0,0.0
basim,1.0,1.0
basimah,7.0,0.0
basiman,0.0,3.0
basimin,0.0,4.0
basimun,0.0,1.0
basinah,2.0,0.0
basinem,1.0,0.0
basing,1.0,0.0
basini,1.0,0.0
basino,0.0,1.0
basiqoh,1.0,0.0
basir,4.0,106.0
basira,0.0,6.0
basirah,6.0,0.0
basiran,0.0,14.0
basirang,0.0,2.0
basire,0.0,1.0
basiri,0.0,2.0
basirin,0.0,1.0
basiro,1.0,2.0
basiroh,2.0,0.0
basirohni,0.0,1.0
basiron,0.0,1.0
basiru,0.0,2.0
basiruddin,0.0,2.0
basirudin,0.0,2.0
basirullah,0.0,1.0
basirun,0.0,18.0
basis,0.0,3.0
basisi,0.0,1.0
basit,0.0,32.0
basith,0.0,22.0
basithi,1.0,0.0
basithu,0.0,1.0
basiya,0.0,1.0
basiyah,2.0,0.0
basiyem,3.0,0.0
basjaya,0.0,1.0
basjuni,0.0,1.0
baskani,0.0,1.0
baskar,0.0,3.0
baskara,2.0,21.0
basker,0.0,1.0
baskhoro,0.0,1.0
baskiah,1.0,0.0
baskoro,3.0,46.0
baskuki,0.0,1.0
basla,0.0,1.0
baslan,1.0,5.0
basli,0.0,4.0
baslian,0.0,1.0
basma,6.0,1.0
basmah,6.0,0.0
basmajanti,1.0,0.0
basmalah,4.0,1.0
basmallah,4.0,0.0
basman,0.0,10.0
basmanuddin,0.0,1.0
basmatul,1.0,0.0
basmawati,4.0,0.0
basmen,0.0,1.0
basmi,1.0,2.0
basmiati,1.0,0.0
basmiaty,1.0,0.0
basmigar,0.0,1.0
basmin,1.0,2.0
basmy,0.0,1.0
basnah,11.0,0.0
basnan,0.0,1.0
basnawati,2.0,0.0
basnawi,0.0,1.0
basni,2.0,2.0
basniah,11.0,0.0
basniarti,2.0,0.0
basnos,0.0,1.0
basnur,3.0,4.0
baso,35.0,321.0
basodin,0.0,1.0
basoe,1.0,1.0
basoegi,0.0,1.0
basoeki,1.0,3.0
basoenre,0.0,1.0
basoere,0.0,1.0
basofi,0.0,4.0
basok,0.0,2.0
basoka,1.0,1.0
basoki,0.0,1.0
basokiddi,0.0,1.0
basokoko,0.0,1.0
basong,0.0,1.0
basonggo,0.0,1.0
basongkeng,0.0,2.0
basoni,1.0,2.0
basono,0.0,1.0
basor,0.0,2.0
basori,4.0,59.0
basory,0.0,2.0
basovial,0.0,1.0
basowa,0.0,1.0
basowali,0.0,1.0
baspi,0.0,1.0
basqy,0.0,1.0
basr,0.0,1.0
basra,2.0,0.0
basrah,14.0,3.0
basram,2.0,0.0
basran,2.0,57.0
basrang,0.0,1.0
basrani,0.0,13.0
basraniansyah,0.0,1.0
basransyah,2.0,7.0
basrawi,0.0,1.0
basri,29.0,577.0
basria,3.0,0.0
basriadi,0.0,4.0
basriah,12.0,0.0
basrian,0.0,1.0
basriansah,0.0,1.0
basriansyah,0.0,12.0
basrianto,0.0,1.0
basrianus,0.0,1.0
basriati,1.0,0.0
basrie,4.0,26.0
basrih,0.0,1.0
basril,0.0,1.0
basrin,0.0,4.0
basris,0.0,1.0
basriyadi,0.0,1.0
basriyah,3.0,0.0
basriyono,0.0,1.0
basrizal,0.0,1.0
basro,0.0,2.0
basroni,0.0,6.0
basrowi,0.0,3.0
basruddin,1.0,3.0
basrudi,0.0,1.0
basrudin,0.0,2.0
basrul,0.0,1.0
basrullah,0.0,1.0
basrum,0.0,1.0
basrun,0.0,11.0
